brand_name,qtd_modelos,preco_medio,ram_media,bateria_media,camera_media,pct_5g,pct_dual_sim
Nokia,1559,32648.2,7.5,4538.8,59.2,50.2,49.3
Motorola,1547,32646.9,7.5,4485.3,58.9,51.6,50.7
OnePlus,1544,32799.6,7.5,4495.5,57.4,49.7,50.6
Samsung,1523,67811.1,7.6,4498.8,57.3,50.3,49.8
Apple,1512,105311.3,7.4,4560.7,57.1,49.4,48.0
Google,1511,32605.3,7.5,4497.0,56.8,49.7,50.1
Oppo,1481,33016.7,7.5,4496.2,57.5,50.8,48.2
Realme,1478,32010.6,7.4,4511.2,57.5,53.4,50.7
Xiaomi,1441,32263.1,7.4,4518.9,57.8,49.2,49.0
Vivo,1404,32431.9,7.5,4515.1,58.6,49.7,47.9
