id,brand_name,model,screen_size,price,release_year,operating_system,battery_capacity,ram,storage,camera_mp,front_camera_mp,refresh_rate,weight,thickness,body_material,chipset,gpu,dual_sim,network_support,bluetooth_version,wifi_version,usb_type,fast_charging,fingerprint_sensor
1,Oppo,Oppo F21,5.18,32452,2016,Android,5787,8,64,48,8,120,203,6.9,Plastic,Apple A16,Apple GPU,Yes,4G,5.0,WiFi 6E,Type-C,33,Yes
2,Apple,iPhone 13,6.27,63631,2024,iOS,4729,12,256,108,8,144,223,9.4,Metal,Snapdragon 8 Gen 2,Apple GPU,No,4G,5.1,WiFi 5,Type-C,120,No
3,Samsung,Galaxy Note 20,6.58,93218,2019,Android,3317,8,128,64,8,60,204,8.5,Glass,Dimensity 9000,Apple GPU,Yes,5G,5.2,WiFi 6,Type-C,33,No
4,Xiaomi,Redmi Note 12,5.66,14932,2022,Android,5073,12,128,108,8,120,194,7.3,Glass,Apple A16,Mali-G710,No,5G,5.2,WiFi 5,Type-C,67,Yes
5,Vivo,Vivo V27,5.34,36420,2021,Android,5970,12,128,48,16,60,151,6.5,Glass,Apple A16,Apple GPU,No,4G,5.2,WiFi 6,Type-C,18,Yes
6,Samsung,Galaxy Note 20,7.03,34426,2022,Android,5426,12,256,12,32,144,205,7.2,Glass,Snapdragon 8 Gen 2,Mali-G710,Yes,5G,5.2,WiFi 6E,Type-C,18,Yes
7,Nokia,Nokia X30,5.03,53180,2017,Android,5412,6,512,48,16,144,200,9.3,Glass,Dimensity 9000,Apple GPU,Yes,5G,5.1,WiFi 6,Type-C,120,No
8,Vivo,Vivo Y75,5.09,51577,2015,Android,5389,12,256,48,16,90,240,7.2,Glass,Dimensity 9000,Mali-G710,No,5G,5.2,WiFi 5,Type-C,18,Yes
9,Realme,Narzo 50,6.65,18242,2016,Android,5380,12,64,12,8,60,232,8.6,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.1,WiFi 6E,Type-C,18,No
10,Samsung,Galaxy S21,6.65,71934,2017,Android,4878,6,64,12,16,144,230,7.3,Metal,Apple A16,Mali-G710,Yes,4G,5.0,WiFi 6,Type-C,120,No
11,Motorola,Moto Edge 50,6.02,6240,2025,Android,3130,8,128,108,32,120,154,7.1,Metal,Apple A16,Apple GPU,No,5G,5.2,WiFi 5,Type-C,18,Yes
12,Vivo,Vivo V25,6.29,10317,2025,Android,5639,12,64,64,16,144,153,6.7,Glass,Apple A16,Adreno 740,Yes,5G,5.0,WiFi 6,Type-C,18,Yes
13,Motorola,Moto G73,6.9,34822,2016,Android,3339,4,64,108,8,120,161,8.7,Plastic,Snapdragon 8 Gen 2,Adreno 740,No,4G,5.0,WiFi 6,Type-C,18,No
14,Oppo,Oppo Reno 8,5.1,51296,2021,Android,3823,6,512,64,8,60,185,6.5,Glass,Apple A16,Mali-G710,Yes,5G,5.2,WiFi 5,Type-C,67,No
15,Samsung,Galaxy A15,6.26,62911,2017,Android,3421,12,256,48,32,60,157,7.1,Plastic,Apple A16,Mali-G710,No,5G,5.1,WiFi 6E,Type-C,67,Yes
16,Realme,Narzo 60x,5.9,56839,2018,Android,5532,4,256,12,8,120,223,7.7,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.1,WiFi 5,Type-C,120,Yes
17,Xiaomi,Redmi Note 13,6.17,59409,2020,Android,3550,4,256,108,16,144,192,9.5,Plastic,Dimensity 9000,Mali-G710,No,4G,5.1,WiFi 6E,Type-C,120,No
18,Realme,Narzo 60x,5.78,7117,2024,Android,4016,8,128,64,32,90,225,8.1,Glass,Dimensity 9000,Adreno 740,No,5G,5.0,WiFi 6E,Type-C,120,No
19,Oppo,Oppo F21,5.7,24112,2017,Android,3868,6,64,108,8,60,167,9.5,Plastic,Dimensity 9000,Adreno 740,Yes,4G,5.0,WiFi 6E,Type-C,33,Yes
20,Nokia,Nokia G21,6.5,19876,2024,Android,4290,4,256,64,16,90,160,7.5,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.2,WiFi 6E,Type-C,67,No
21,Nokia,Nokia G21,6.68,6641,2020,Android,4622,6,512,48,16,144,232,9.3,Plastic,Apple A16,Apple GPU,No,4G,5.2,WiFi 5,Type-C,67,No
22,Realme,Realme 11 Pro,5.93,42242,2017,Android,5788,4,128,108,32,90,180,6.7,Metal,Snapdragon 8 Gen 2,Mali-G710,Yes,4G,5.0,WiFi 6E,Type-C,120,Yes
23,Realme,Narzo 60x,6.2,40783,2017,Android,4014,12,128,108,32,144,167,6.7,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,4G,5.0,WiFi 6E,Type-C,120,Yes
24,Google,Pixel 8,5.88,50134,2022,Android,4461,8,512,108,8,144,196,8.9,Glass,Snapdragon 8 Gen 2,Adreno 740,No,5G,5.0,WiFi 5,Type-C,18,Yes
25,Apple,iPhone 13,5.29,101479,2018,iOS,4374,6,64,48,16,60,228,7.0,Glass,Apple A16,Mali-G710,Yes,4G,5.2,WiFi 6E,Type-C,67,No
26,Google,Pixel 8,5.65,40319,2018,Android,3358,8,128,64,16,60,171,9.4,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.2,WiFi 5,Type-C,33,No
27,OnePlus,Nord CE 3,6.12,38842,2017,Android,4308,12,64,108,8,60,172,8.5,Glass,Apple A16,Apple GPU,No,4G,5.2,WiFi 6,Type-C,33,Yes
28,Vivo,Vivo X80,5.95,24797,2025,Android,3013,12,256,12,16,60,156,9.1,Plastic,Dimensity 9000,Apple GPU,Yes,4G,5.0,WiFi 6E,Type-C,120,Yes
29,Google,Pixel 8,5.74,32849,2016,Android,4087,6,256,64,8,90,206,6.6,Plastic,Apple A16,Apple GPU,No,4G,5.1,WiFi 6E,Type-C,67,Yes
30,Xiaomi,Redmi Note 13,6.03,41776,2019,Android,3579,8,64,64,8,90,173,7.9,Plastic,Dimensity 9000,Mali-G710,Yes,4G,5.1,WiFi 6E,Type-C,18,No
31,Oppo,Oppo F21,6.36,46742,2024,Android,3008,4,128,12,16,60,197,7.8,Glass,Dimensity 9000,Apple GPU,No,4G,5.2,WiFi 6E,Type-C,18,Yes
32,Vivo,Vivo V25,5.02,28351,2025,Android,4918,4,128,64,32,144,219,8.0,Plastic,Snapdragon 8 Gen 2,Mali-G710,No,4G,5.0,WiFi 6E,Type-C,33,Yes
33,Realme,Realme GT Neo 3,5.74,41543,2018,Android,3919,6,256,48,32,60,156,9.4,Glass,Snapdragon 8 Gen 2,Apple GPU,Yes,5G,5.1,WiFi 6E,Type-C,33,No
34,Motorola,Moto G84,6.17,8591,2024,Android,3783,6,64,48,8,90,225,8.2,Glass,Dimensity 9000,Adreno 740,No,5G,5.2,WiFi 5,Type-C,18,Yes
35,Google,Pixel 6,6.17,26006,2017,Android,4331,12,512,12,16,60,231,9.1,Metal,Apple A16,Mali-G710,No,5G,5.0,WiFi 6,Type-C,67,No
36,OnePlus,OnePlus 9,6.37,19925,2021,Android,5240,6,64,48,32,90,175,8.4,Plastic,Apple A16,Apple GPU,No,4G,5.0,WiFi 6,Type-C,18,Yes
37,Google,Pixel 7,5.2,59096,2018,Android,3062,6,64,108,16,90,161,7.3,Metal,Apple A16,Apple GPU,No,5G,5.1,WiFi 5,Type-C,18,No
38,Oppo,Oppo Reno 8,5.4,45916,2017,Android,4178,12,256,64,32,144,222,9.2,Glass,Dimensity 9000,Apple GPU,No,5G,5.2,WiFi 6E,Type-C,120,Yes
